SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long
285,HALFPENNY BRIDGE & MILLENNIUM FOOTBRIDGE @ ORMOND QUAY,halfpenny bridge & millennium footbridge @ ormond quay,CCITY,53.346331,-6.264828
288,PEARSE ST @ SHAW ST,pearse st @ shaw st,CCITY,53.34470527,-6.25221163
295,RATHMINES RD @ LEINSTER RD,rathmines rd @ leinster rd,SCITY,53.324053,-6.265385
297,RICHMOND ST SOUTH @ LENNOX ST,richmond st south @ lennox st,SCITY,53.33070632,-6.264359504
298,MOBHI RD @ SCOIL CAITRIONA,mobhi rd @ scoil caitriona,NCITY,53.37554623,-6.265052122
301,ST STEPHENS GREEN @ NORTH EAST CORNER,st stephens green @ north east corner,CCITY,53.3384903,-6.2550856
302,SANDFORD RD @ MARLBOROUGH RD,sandford rd @ marlborough rd,SCITY,53.3224075,-6.2470422
304,SCR @ RIALTO BRIDGE,scr @ rialto bridge,WCITY1,53.3376023,-6.2990894
305,GEORGES ST @ EXCHEQUER ST,georges st @ exchequer st,CCITY,53.34288724,-6.264307
308,SUNDRIVE RD @ BLARNEY PK,sundrive rd @ blarney pk,WCITY1,53.3208734,-6.292821765
311,TEMPLEOGUE RD @ FORTFIELD RD,templeogue rd @ fortfield rd,SCITY,53.30182,-6.297239
312,TERENURE RD NTH @ ASHDALE RD,terenure rd nth @ ashdale rd,SCITY,53.3147099,-6.2834513
322,KYLEMORE RD @ BLUEBELL AV,kylemore rd @ bluebell av,WCITY1,53.33102001,-6.345645189
323,MALAHIDE RD @ ST BRENDANS AV,malahide rd @ st brendans av,NCITY,53.3868829,-6.2007823
324,BRIDE ST @ GOLDEN LANE,bride st @ golden lane,SCITY,53.34055933,-6.270032359
325,CRUMLIN RD @ IVY GARDENS,crumlin rd @ ivy gardens,WCITY1,53.32761801,-6.30923152
326,CRUMLIN RD @ IVY GROUNDS,crumlin rd @ ivy grounds,WCITY1,53.32831163,-6.306053102
327,FINGLAS RD @ OLD FINGLAS RD,finglas rd @ old finglas rd,NCITY,53.377704,-6.287545
328,GRAFTON ST @ SUFFOLK ST,grafton st @ suffolk st,CCITY,53.34326199,-6.25935027
330,RANELAGH RD @ NORTHBROOK RD,ranelagh rd @ northbrook rd,SCITY,53.3282968,-6.2581681
331,MALAHIDE RD @ KILLESTER AV (ST DAVIDS),malahide rd @ killester av (st davids),NCITY,53.378414,-6.213154
332,SWORDS RD @ PLUNKETT SCHOOL,swords rd @ plunkett school,WCITY1,53.3805653,-6.2459052
333,DAVITT RD / BENBULBIN RD / FOOTBRIDGE (LUAS),davitt rd / benbulbin rd / footbridge (luas),WCITY1,53.33592315,-6.312436759
334,CLONLIFFE RD @ CLONLIFFE GARDENS,clonliffe rd @ clonliffe gardens,NCITY,53.3617786,-6.2467798
335,GRIFFITH AV EXT @ BALLYGALL RD EAST,griffith av ext @ ballygall rd east,NCITY,53.37953644,-6.27635193
336,CHURCH ST @ MAY LANE ,church st @ may lane ,CCITY,53.34777432,-6.27477202
340,FINGLAS RD / PREMIER SQUARE,finglas rd / premier square,NCITY,53.382041,-6.291203
342,SANDFORD RD @ BELMONT AV,sandford rd @ belmont av,SCITY,53.31971651,-6.243607063
344,CABRA RD @ DOWTH AV,cabra rd @ dowth av,WCITY1,53.361011,-6.2831711
346,DRUMCONDRA RD @ ST PATRICKS COLLEGE / ORMOND RD,drumcondra rd @ st patricks college / ormond rd,NCITY,53.3702785,-6.2538964
347,PROSPECT RD @ LINDSAY RD,prospect rd @ lindsay rd,NCITY,53.36586485,-6.27124694
348,BALLYFERMOT RD @ CLEGGAN PARK,ballyfermot rd @ cleggan park,WCITY1,53.343528,-6.369191
351,CHURCH ST @ BRUNSWICK ST,church st @ brunswick st,CCITY,53.3503712,-6.27452493
352,DAWSON ST @ NASSAU ST,dawson st @ nassau st,CCITY,53.3426119,-6.2570885
354,AMIENS ST @ BERESFORD PL,amiens st @ beresford pl,CCITY,53.349056,-6.25165
355,MEMORIAL BRIDGE @ CUSTOMS HOUSE QUAY,memorial bridge @ customs house quay,CCITY,53.348297,-6.25151
356,MEMORIAL BRIDGE @ GEORGES QUAY,memorial bridge @ georges quay,CCITY,53.347432,-6.25178
360,ST STEPHENS GREEN @ DAWSON ST,st stephens green @ dawson st,CCITY,53.339531,-6.258802
362,RATHMINES RD @ CHURCH,rathmines rd @ church,SCITY,53.3278219,-6.264698
363,RATHMINES RD @ MILITARY RD,rathmines rd @ military rd,SCITY,53.3270744,-6.2648431
366,THOMAS ST @ MEATH ST & PED @ JOHNS LANE,thomas st @ meath st & ped @ johns lane,SCITY,53.342838,-6.27916
367,CORNMARKET @ BRIDGE ST,cornmarket @ bridge st,SCITY,53.343445,-6.275115
368,THOMAS ST @ FRANCIS ST,thomas st @ francis st,SCITY,53.343098,-6.276149
369,THOMAS ST @ BRIDGEFOOT ST,thomas st @ bridgefoot st,SCITY,53.343249,-6.281382
370,ST JOHNS RD WEST @ STEVENS LANE (LUAS),st johns rd west @ stevens lane (luas),CCITY,53.3465018,-6.2919755
372,INCHICORE RD @ GRATTAN CRESCENT,inchicore rd @ grattan crescent,WCITY1,53.341616,-6.3190213
377,STATION RD @ RAILWAY BRIDGE,station rd @ railway bridge,DCC1,53.3816229,-6.1757115
378,MILLTOWN RD @ CHURCHTOWN RD,milltown rd @ churchtown rd,SCITY,53.30824153,-6.254377542
379,DRIMNAGH RD @ ERRIGAL RD,drimnagh rd @ errigal rd,WCITY1,53.324865,-6.3210868
380,TONLEGEE RD @ TONLEGEE LIME WOOD,tonlegee rd @ tonlegee lime wood,NCITY,53.3906934,-6.1835244
381,OSCAR TRAYNOR RD @ COOLOCK DRIVE,oscar traynor rd @ coolock drive,NCITY,53.39189537,-6.205269098
383,MERRION RD @ SERPENTINE AV ,merrion rd @ serpentine av ,SCITY,53.3262323,-6.2286358
384,TONLEGEE RD @ MILLBROOK RD,tonlegee rd @ millbrook rd,NCITY,53.39113254,-6.17868027
386,OSCAR TRAYNOR RD @ KILMORE RD,oscar traynor rd @ kilmore rd,NCITY,53.3944814,-6.2120287
387,MEATH ST @ THE COOMBE,meath st @ the coombe,SCITY,53.33987805,-6.278073639
388,OSCAR TRAYNOR @ CLONSHAUGH INDUSTRIAL ESTATE,oscar traynor @ clonshaugh industrial estate,NCITY,53.3974292,-6.2197528
390,CRUMLIN RD @ KILDARE RD,crumlin rd @ kildare rd,WCITY1,53.32520224,-6.317579402
391,MILLTOWN RD @ RAMLEH PARK,milltown rd @ ramleh park,SCITY,53.31466534,-6.24632856
394,RATHFARNHAM RD @ BUSHY PARK RD,rathfarnham rd @ bushy park rd,SCITY,53.306987,-6.283729
395,CRUMLIN RD @ COOLEY RD,crumlin rd @ cooley rd,WCITY1,53.32599684,-6.316012144
399,JAMES ST @ WATLING ST,james st @ watling st,DCC1,53.343459,-6.284836
402,ST STEPHENS GREEN @ GRAFTON ST. (LUAS),st stephens green @ grafton st. (luas),CCITY,53.339932,-6.260701
403,GARDINER ST @ ABBEY ST/BERESFORD PL & PED ADJACENT (LUAS),gardiner st @ abbey st/beresford pl & ped adjacent (luas),CCITY,53.349445,-6.253448
404,PARKGATE ST @ HEUSTON BRIDGE AND PED ADJACENT (LUAS),parkgate st @ heuston bridge and ped adjacent (luas),CCITY,53.347753,-6.29184
405,HARTS CORNER & PEDS @ SMURFITS AND VINCENTS SCHOOL,harts corner & peds @ smurfits and vincents school,NCITY,53.367454,-6.272099
408,CABRA RD @ QUARRY RD.,cabra rd @ quarry rd.,WCITY1,53.36146888,-6.290767193
410,NAAS RD @ CARRIGLEA RD (LUAS),naas rd @ carriglea rd (luas),WCITY1,53.327748,-6.3371697
411,MERRION RD @ MERRION VILLAGE,merrion rd @ merrion village,SCITY,53.31771506,-6.20988357
412,BALLYFERMOT RD EAST OF ROUNDABOUT,ballyfermot rd east of roundabout,WCITY1,53.3422799,-6.3461875
416,GARDINER PL @ TEMPLE ST,gardiner pl @ temple st,NCITY,53.3559038,-6.261015
418,CAPEL ST @ ABBEY ST (LUAS),capel st @ abbey st (luas),CCITY,53.3473404,-6.2678365
419,PARNELL ST / JERVIS ST / CHAPEL LANE,parnell st / jervis st / chapel lane,CCITY,53.3501487,-6.2668778
420,VICTORIA QUAY @ FRANK SHERWIN BRIDGE AND PEDS AT STATION (LUAS),victoria quay @ frank sherwin bridge and peds at station (luas),CCITY,53.346964,-6.291095
421,ST STEPHENS GREEN @ KILDARE STREET,st stephens green @ kildare street,CCITY,53.33889596,-6.256541474
422,NAVAN RD @ RATOATH RD,navan rd @ ratoath rd,WCITY1,53.361587,-6.298221
423,SCR @ BROOKFIELD RD,scr @ brookfield rd,WCITY1,53.3384334,-6.3000141
429,NCR @ CHARLEVILLE RD,ncr @ charleville rd,NCITY,53.35913974,-6.28164494
432,NCR @ GLENGARRIF PARADE (SITE DECOMISSIONED 6/12/07),ncr @ glengarrif parade (site decomissioned 6/12/07),NULL,0,0
437,TERENURE RD NORTH @ EAGLE HILL AVE,terenure rd north @ eagle hill ave,SCITY,53.312752,-6.2823998
438,MANOR ST @ MANOR PL,manor st @ manor pl,CCITY,53.352377,-6.283848
439,TOWNSEND ST @ LOMBARD ST,townsend st @ lombard st,CCITY,53.3447395,-6.2473333
441,MERRION GATES,merrion gates,SCITY,53.3160294,-6.2051674
443,CLONTARF RD @ EMBANKMENT RD & PED AT ST ANTHONYS CHURCH,clontarf rd @ embankment rd & ped at st anthonys church,NCITY,53.36336987,-6.22223463
445,EAST WALL RD / ALFIE BYRNE RD,east wall rd / alfie byrne rd,NCITY,53.3579115,-6.233931
447,NORTH RD @ PLUNKETT AV,north rd @ plunkett av,NCITY,53.39853006,-6.307075024
448,MOREHAMPTON RD @ BELMONT AV,morehampton rd @ belmont av,SCITY,53.32276631,-6.237924689
452,MERRION RD @ SHREWSBURY RD,merrion rd @ shrewsbury rd,SCITY,53.32427925,-6.221443456
454,NASSAU ST @ KILDARE ST & MOLESWORTH ST,nassau st @ kildare st & molesworth st,CCITY,53.3405065,-6.2556651
455,NAVAN RD @ SKREEN RD,navan rd @ skreen rd,WCITY1,53.363481,-6.30392
456,MALAHIDE RD @ GREENCASTLE RD,malahide rd @ greencastle rd,NCITY,53.389455,-6.197644
457,KILBARRACK RD @ KILBARRACK AV,kilbarrack rd @ kilbarrack av,NCITY,53.38699934,-6.147565137
458,FINGLAS RD @ BALLYBOGGAN RD,finglas rd @ ballyboggan rd,NCITY,53.375806,-6.286491
459,FINGLAS RD @ SLANEY RD,finglas rd @ slaney rd,NCITY,53.3726239,-6.2836164
461,MALAHIDE RD @ MOUNT TEMPLE,malahide rd @ mount temple,NCITY,53.3659011,-6.2279552
462,GRAND CANAL ST @ CLANWILLIAM PL,grand canal st @ clanwilliam pl,SCITY,53.338799,-6.2391914
465,MERRION SQ @ MOUNT ST UPR,merrion sq @ mount st upr,SCITY,53.338157,-6.24779284
467,MALAHIDE RD @ DARNDALE RDB/BLUNDEN DR,malahide rd @ darndale rdb/blunden dr,NCITY,53.3981925,-6.1869016
468,GRANGE RD @ NEWBROOK AV,grange rd @ newbrook av,DCC1,53.3964135,-6.1615627
470,NAVAN RD @ BAGGOT RD/KINVARA PK,navan rd @ baggot rd/kinvara pk,WCITY1,53.368262,-6.317797
472,BALLYFERMOT RD @ KENNELSFORT RD,ballyfermot rd @ kennelsfort rd,WCITY1,53.345606,-6.379581
476,EAST WALL RD @ EAST RD,east wall rd @ east rd,NCITY,53.3549727,-6.2299169
479,SANDFORD RD @ ANNA VILLA,sandford rd @ anna villa,SCITY,53.32340936,-6.2500353
483,GARDINER ST @ CHURCH,gardiner st @ church,WCITY1,53.357604,-6.2600286
484,BERKELEY RD @ ST JOSEPHS CHURCH,berkeley rd @ st josephs church,WCITY1,53.3578859,-6.268684
485,FINGLAS RD / SHOPPING CENTRE / GLENHILL EST,finglas rd / shopping centre / glenhill est,NCITY,53.3840261,-6.29391
486,JAMES ST @ HOSPITAL (LUAS),james st @ hospital (luas),WCITY1,53.342471,-6.293937
487,NAAS RD @ LA TOUCHE RD (MUIRFIELD RD) (LUAS),naas rd @ la touche rd (muirfield rd) (luas),WCITY1,53.32927237,-6.334426033
488,BALLYFERMOT RD @ BALLYFERMOT PDE,ballyfermot rd @ ballyfermot pde,WCITY1,53.3421615,-6.351317
489,PRUSSIA ST @ SHOPPING CENTRE,prussia st @ shopping centre,WCITY1,53.35611733,-6.28805481
490,TERENURE RD EAST @ CHURCH,terenure rd east @ church,SCITY,53.3103493,-6.2817733
492,HOWTH RD / ST LAWRENCE RD / ASHBROOK,howth rd / st lawrence rd / ashbrook,WCITY1,53.36811007,-6.21206845
493,BEAUMONT RD @ HOSPITAL,beaumont rd @ hospital,NCITY,53.38566688,-6.228942275
494,HOWTH RD @ JAMES LARKIN RD,howth rd @ james larkin rd,DCC1,53.3822856,-6.1497181
496,MOREHAMPTON RD @ BLOOMFIELD AV,morehampton rd @ bloomfield av,SCITY,53.3266191,-6.2431453
498,KYLEMORE RD @ BY-PASS,kylemore rd @ by-pass,WCITY1,53.34953624,-6.353243887
500,GRIFFITH AV @ PHILIPSBURGH AV,griffith av @ philipsburgh av,NCITY,53.371902,-6.2372442
501,CHAPELIZOD BYPASS @ CONCOLBERT RD,chapelizod bypass @ concolbert rd,WCITY1,53.34272328,-6.32162641
502,SCR @ BULFIN RD,scr @ bulfin rd,WCITY1,53.3394777,-6.3075984
503,SCR @ INCHICORE RD / OLD KILMAINHAM LANE,scr @ inchicore rd / old kilmainham lane,WCITY1,53.3418287,-6.3075832
504,ORWELL RD @ ZION RD,orwell rd @ zion rd,SCITY,53.30994164,-6.273429394
506,CLONTARF RD @ VERNON AVE,clontarf rd @ vernon ave,NCITY,53.3590888,-6.1958659
507,FAUSSAGH RD @ DOWTH AV,faussagh rd @ dowth av,NCITY,53.36373523,-6.282404065
508,SWORDS RD @ OMNI PARK SHOPPING CENTRE,swords rd @ omni park shopping centre,NCITY,53.392833,-6.245973
509,BREMEN GROVE NTH BOUND @ SEAN MOORE RD,bremen grove nth bound @ sean moore rd,SCITY,53.33918705,-6.21650281
510,FINGLAS RD @ WELLMOUNT RD,finglas rd @ wellmount rd,NCITY,53.387314,-6.298282
511,SEAFIELD RD @ VERNON AV,seafield rd @ vernon av,NCITY,53.36393054,-6.195366383
513,AMIENS ST @ STORE ST (LUAS),amiens st @ store st (luas),CCITY,53.34986394,-6.250992591
515,NAVAN RD / KEMPTON EST,navan rd / kempton est,WCITY1,53.371264,-6.329215
517,COLLINS AV @ COLLINSWOOD,collins av @ collinswood,NCITY,53.3803857,-6.236131
519,OLD FINGLAS RD @ BALLYGALL RD,old finglas rd @ ballygall rd,NCITY,53.37750195,-6.27621612
521,GRACE PARK RD. @ GRACE PARK HEIGHTS,grace park rd. @ grace park heights,NCITY,53.37936936,-6.240419447
522,HARCOURT ST @ HATCH ST (LUAS),harcourt st @ hatch st (luas),SCITY,53.33368131,-6.26311276
524,TONLEGEE RD / RATHVALE DRIVE,tonlegee rd / rathvale drive,NCITY,53.39038935,-6.18907821
526,EMMET RD / BULFIN RD,emmet rd / bulfin rd,WCITY1,53.3404516,-6.3155784
528,FINGLAS RD @ TOLKA VALLEY RD,finglas rd @ tolka valley rd,NCITY,53.379786,-6.28828
530,SUNDRIVE RD @ STANAWAY RD,sundrive rd @ stanaway rd,WCITY1,53.32240985,-6.294456571
531,HOWTH RD @ CASTLE AVE,howth rd @ castle ave,WCITY1,53.37140006,-6.20178444
532,OSCAR TRAYNOR RD @ WOODLAWN,oscar traynor rd @ woodlawn,WCITY1,53.3976418,-6.2295637
533,NAVAN RD @ HAMPTON GREEN,navan rd @ hampton green,WCITY1,53.362704,-6.301878
536,STRAND RD @ GILFORD RD,strand rd @ gilford rd,SCITY,53.3278399,-6.2087469
540,OSCAR TRAYNOR RD / DUNDANIEL RD,oscar traynor rd / dundaniel rd,WCITY1,53.39784705,-6.224204176
545,STATION RD / SPRINGDALE RD,station rd / springdale rd,NCITY,53.3828948,-6.1761677
546,HOWTH RD / COLLINS AVE EAST,howth rd / collins ave east,WCITY1,53.3708231,-6.2074971
550,WARRINGTON PL @ MOUNT ST UP,warrington pl @ mount st up,DCC1,53.336415,-6.2426989
551,BALLYFERMOT RD @ COLEPARK ROAD ,ballyfermot rd @ colepark road ,WCITY1,53.3423246,-6.3542352
552,BALLYFERMOT RD @ CHERRY ORCHARD HOSPITAL,ballyfermot rd @ cherry orchard hospital,WCITY1,53.3490613,-6.3625957
553,BALLYFERMOT RD @ O-HOGAN RD,ballyfermot rd @ o-hogan rd,WCITY1,53.34239,-6.338905
554,BALLYFERMOT RD @ BLACKDITCH DR,ballyfermot rd @ blackditch dr,WCITY1,53.3431763,-6.3650815
555,BALLYMUN RD @ DCU,ballymun rd @ dcu,NCITY,53.3843805,-6.2652356
556,FINGLAS RD @ GLASNEVIN CEMETERY,finglas rd @ glasnevin cemetery,NCITY,53.369714,-6.277707
559,CUSTOM HOUSE QY @ COMMON ST,custom house qy @ common st,CCITY,53.3479404,-6.2465924
561,HOWTH RD @ SUPERVALUE,howth rd @ supervalue,WCITY1,53.38011392,-6.17734343
566,BALLYMUN RD @ SANTRY AVE,ballymun rd @ santry ave,DCC1,53.40150126,-6.264615655
568,FINGLAS VILLAGE,finglas village,WCITY1,53.3886434,-6.2971718
570,OLD FINGLAS RD @ VIOLET HILL RD,old finglas rd @ violet hill rd,NCITY,53.3782182,-6.2823265
573,NAAS RD @ THE GAP (LUAS),naas rd @ the gap (luas),WCITY1,53.33275497,-6.32960973
575,RAHENY RD @ GRANGE PARK RD,raheny rd @ grange park rd,NCITY,53.38694732,-6.17362034
577,DUNVILLE AVE @ SHUTTLE (LUAS),dunville ave @ shuttle (luas),SCITY,53.32107133,-6.254677774
578,MELLOWS RD @ SWIMMING POOL,mellows rd @ swimming pool,NCITY,53.3898106,-6.3056651
582,BRIDGE ST @ COOKE ST,bridge st @ cooke st,CCITY,53.34419545,-6.276349215
583,BEAVER ROW @ BEECH HILL AV,beaver row @ beech hill av,SCITY,53.3199514,-6.2321985
584,EAST WALL RD @ SHERRIF ST,east wall rd @ sherrif st,NCITY,53.3498665,-6.2270564
585,GRANGE RD @ DONAGHMEDE SHOPPING CENTRE,grange rd @ donaghmede shopping centre,NCITY,53.39537034,-6.16291316
586,MALAHIDE RD @ ELM MOUNT RD,malahide rd @ elm mount rd,NCITY,53.3773202,-6.2155529
588,SCR @ HERBERTON RD/UPPERCROSS RD,scr @ herberton rd/uppercross rd,SCITY,53.3359902,-6.2988976
591,KILMORE RD @ MARYFIELD CRESCENT,kilmore rd @ maryfield crescent,NCITY,53.3826664,-6.2129617
593,ALFIE BYRNE RD @ DART STATION,alfie byrne rd @ dart station,NCITY,53.3555019,-6.2293145
594,MALAHIDE RD @ BRIAN RD,malahide rd @ brian rd,NCITY,53.3680694,-6.2274334
596,GRIFFITH AVE @ BERESFORD ESTATE,griffith ave @ beresford estate,NCITY,53.3745192,-6.2458056
597,NAVAN RD @ ASHTOWN GR,navan rd @ ashtown gr,WCITY1,53.369758,-6.32459
599,TERENURE PL @ TEMPLEOGUE RD,terenure pl @ templeogue rd,SCITY,53.3094976,-6.2847642
600,EAST WALL RD @ DUBLIN PORT,east wall rd @ dublin port,NCITY,53.3524957,-6.2254671
603,MALAHIDE RD @ ARDLEA RD (NORTH-SOUTH),malahide rd @ ardlea rd (north-south),NCITY,53.38294666,-6.20465646
604,MALAHIDE RD @ ARDLEA RD (EAST-WEST),malahide rd @ ardlea rd (east-west),NCITY,53.3826216,-6.2062264
605,SWORDS RD @ IVERAGH RD,swords rd @ iveragh rd,NCITY,53.3811174,-6.2454129
606,CRUMLIN RD @ ARDAGH RD,crumlin rd @ ardagh rd,WCITY1,53.32890753,-6.303448677
608,MALAHIDE RD @ ST BRENDANS CHURCH,malahide rd @ st brendans church,NCITY,53.3877726,-6.1996801
610,MOREHAMPTON RD @ WELLINGTON PL,morehampton rd @ wellington pl,SCITY,53.32764353,-6.244392851
611,OSCAR TRAYNOR RD @ CLONSHAUGH RD,oscar traynor rd @ clonshaugh rd,NCITY,53.3962867,-6.2169049
612,ABBEY STREET MIDDLE @ LIFFEY ST (LUAS),abbey street middle @ liffey st (luas),CCITY,53.3477418,-6.2636264
613,LEESON ST @ DARTMOUTH RD,leeson st @ dartmouth rd,SCITY,53.33119,-6.2523922
614,SUSSEX RD @ BURLINGTON RD,sussex rd @ burlington rd,SCITY,53.329323,-6.2485613
615,DONNYBROOK RD @ EGLINTON RD,donnybrook rd @ eglinton rd,SCITY,53.31942232,-6.232594251
617,TONLEGEE RD / MOATFIELD RD,tonlegee rd / moatfield rd,NCITY,53.38990084,-6.193174381
618,RANELAGH @ SALLYMOUNT AVE,ranelagh @ sallymount ave,SCITY,53.3241866,-6.2523517
619,ERRIGAL RD @ BRANDON RD,errigal rd @ brandon rd,WCITY1,53.32638273,-6.32219781
622,AUNGIER ST @ LONGFORD ST,aungier st @ longford st,SCITY,53.340691,-6.265586
623,RATHGAR RD / GROSVENOR RD @ CHARLEVILLE RD ,rathgar rd / grosvenor rd @ charleville rd ,SCITY,53.321366,-6.267498
625,HALFPENNY BRIDGE ,halfpenny bridge ,CCITY,53.345882,-6.263806
626,KILBARRACK RD @ THORNVILLE RD,kilbarrack rd @ thornville rd,NCITY,53.3889892,-6.152492
628,PRUSSIA ST @ AUGHRIM ST,prussia st @ aughrim st,CCITY,53.3533,-6.285206
629,CRUMLIN RD @ RAFTERS RD,crumlin rd @ rafters rd,WCITY1,53.32674015,-6.313319206
630,MOUNT PROSPECT AVE @ CLONTARF RD,mount prospect ave @ clontarf rd,NCITY,53.36684735,-6.17264609
634,GRANGE RD @ GRANGE ABBEY,grange rd @ grange abbey,NCITY,53.39845917,-6.16003412
637,KEEPER RD @ HERBERTON RD,keeper rd @ herberton rd,WCITY1,53.33122057,-6.297950149
640,COLLINS AVE @ DCU,collins ave @ dcu,NCITY,53.3862135,-6.2549866
641,TEMPLEOGUE RD @ TERENURE COLLEGE,templeogue rd @ terenure college,SCITY,53.304919,-6.2879147
642,TEMPLEOGUE RD @ BUSGATE,templeogue rd @ busgate,SCITY,53.3068608,-6.2890836
644,COLLEGE GREEN @ NORTH OF GRATTAN MONUMENT,college green @ north of grattan monument,NULL,53.3446384,-6.259851
647,NCR @ O'CONNELLS SCHOOL,ncr @ o'connells school,NCITY,53.3574937,-6.25124831
648,SHELBOURNE RD / CRAMPTON AVE,shelbourne rd / crampton ave,SCITY,53.33213808,-6.231785119
650,MILLTOWN RD @ ST ANNES,milltown rd @ st annes,SCITY,53.312963,-6.247234
651,SARSFIELD RD @ LANDON RD,sarsfield rd @ landon rd,WCITY1,53.342196,-6.32894
653,NICHOLAS ST @ BULL ALLEY ST,nicholas st @ bull alley st,SCITY,53.34059504,-6.27239547
654,SARSFIELD RD @ CONCOLBERT RD (RAILWAY BRIDGE),sarsfield rd @ concolbert rd (railway bridge),WCITY1,53.342091,-6.325348
655,CLONTARF RD / SEAVIEW AVE NTH,clontarf rd / seaview ave nth,NCITY,53.3614111,-6.2147343
658,RINGSEND @ BARROW ST,ringsend @ barrow st,CCITY,53.3420237,-6.2365483
659,GRACE PARK RD / SION HILL RD,grace park rd / sion hill rd,NCITY,53.37593724,-6.242346615
660,NORTH WALL QUAY @ GUILD ST,north wall quay @ guild st,CCITY,53.3475439,-6.2410467
662,MERCER ST @ YORK ST,mercer st @ york st,CCITY,53.33924665,-6.264342311
663,MERCER ST @ CAR PARK,mercer st @ car park,CCITY,53.3397015,-6.264034095
664,ST JOHNS RD @ MILITARY RD,st johns rd @ military rd,WCITY1,53.3455197,-6.2968694
665,LORD EDWARD ST / FISHAMBLE ST (& LORD EDWARD ST @ COWS LANE),lord edward st / fishamble st (& lord edward st @ cows lane),CCITY,53.3434603,-6.2698439
666,DAME ST @ OLYMPIA,dame st @ olympia,CCITY,53.3441691,-6.2662089
667,NAVAN RD @ LIBRARY,navan rd @ library,WCITY1,53.362105,-6.299983
668,HARCOURT ST PED (LUAS),harcourt st ped (luas),SCITY,53.336765,-6.2631501
670,RATOATH RD @ JOHN PAUL PARK,ratoath rd @ john paul park,NCITY,53.36807279,-6.30378423
676,COLDCUT RD @ CLOVER HILL RD,coldcut rd @ clover hill rd,WCITY1,53.34656,-6.383297
677,EAST WALL RD @ ALEXANDER RD,east wall rd @ alexander rd,NCITY,53.35133139,-6.22616086
679,DRIMNAGH RD @ SLIEVEBLOOM RD,drimnagh rd @ slievebloom rd,WCITY1,53.324163,-6.327237
680,OSCAR TRAYNOR RD @ COOLOCK VILLAGE,oscar traynor rd @ coolock village,WCITY1,53.3897368,-6.1996553
684,TERENURE RD EAST BUSGATE,terenure rd east busgate,SCITY,53.31101916,-6.27828166
686,RATHMINES RD @ RATHMINES COLLEGE,rathmines rd @ rathmines college,SCITY,53.3254722,-6.2652374
690,BALLYMUN RD @ OLD FINGLAS RD,ballymun rd @ old finglas rd,WCITY1,53.3761333,-6.2700266
